PartitionKey,RowKey,OrderNumber,OrderNumber@type,Code,Code@type,ValidityFlag,ValidityFlag@type,ShortDescription,ShortDescription@type,LongDescription,LongDescription@type
ICD10,372f9dfb-dc59-4fad-a874-359c9a212328,49816,,S59902A,,true,,"Unspecified injury of left elbow, initial encounter",,"Unspecified injury of left elbow, initial encounter",
ICD10,3730549e-43ec-4d89-9ec1-da781ba4d4ee,02638,,C86,,false,,Other specified types of T/NK-cell lymphoma,,Other specified types of T/NK-cell lymphoma,
ICD10,373188f2-de52-498c-b230-8e277b68de27,94262,,Y36030D,,true,,"War op w explosn of sea-based artlry shell, milt, subs",,"War operations involving explosion of sea-based artillery shell, military personnel, subsequent encounter",
ICD10,37319396-f444-4052-a3d6-47187565936e,78945,,T48902D,,true,,"Poisn by unsp agents prim act on the resp sys, slf-hrm, subs",,"Poisoning by unspecified agents primarily acting on the respiratory system, intentional self-harm, subsequent encounter",
ICD10,3731fd86-c0ff-4834-a3af-9471425e81ca,62529,,S82232F,,true,,"Displ oblique fx shaft of l tibia, 7thF",,"Displaced oblique fracture of shaft of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",
ICD10,373264fc-decd-4f95-82fd-a88db094a3e4,74064,,T25,,false,,Burn and corrosion of ankle and foot,,Burn and corrosion of ankle and foot,
ICD10,373281f1-cc87-410f-85ed-b7985c507977,61883,,S82122B,,true,,"Disp fx of lateral condyle of l tibia, 7thB",,"Displaced fracture of lateral condyle of left tibia, initial encounter for open fracture type I or II",
ICD10,3733109b-0f4c-4873-99ac-8947579a6173,35758,,S2091XS,,true,,"Abrasion of unspecified parts of thorax, sequela",,"Abrasion of unspecified parts of thorax, sequela",
ICD10,373366a6-46ec-4c4e-be76-3b740c85088a,53577,,S62667D,,true,,"Nondisp fx of dist phalanx of l lit fngr, 7thD",,"Nondisplaced fracture of distal phalanx of left little finger, subsequent encounter for fracture with routine healing",
ICD10,3733923c-1d3a-48f6-ab47-5b60d7d6f07c,05437,,F1313,,false,,"Sedative, hypnotic or anxiolytic abuse with withdrawal",,"Sedative, hypnotic or anxiolytic abuse with withdrawal",
ICD10,3733a707-105a-4a4e-9032-b6856ca2b3aa,48890,,S56221S,,true,,"Lacerat flexor musc/fasc/tend at forarm lv, right arm, sqla",,"Laceration of other flexor muscle, fascia and tendon at forearm level, right arm, sequela",
ICD10,37354677-a83d-4251-a6d5-a9794efd2c39,05197,,F03A,,false,,"Unspecified dementia, mild",,"Unspecified dementia, mild",
ICD10,37355f4c-13fa-45e3-962d-ef2117bbb29d,69837,,S96191,,false,,"Inj msl/tnd lng extn muscle of toe at ank/ft level, r foot",,"Other specified injury of muscle and tendon of long extensor muscle of toe at ankle and foot level, right foot",
ICD10,37359138-f549-4d44-accb-db0760030639,87084,,V319XXA,,true,,"Occup of 3-whl mv injured in clsn w pedl cyc in traf, init",,"Unspecified occupant of three-wheeled motor vehicle injured in collision with pedal cycle in traffic accident, initial encounter",
ICD10,3737be00-a6ec-4561-9284-a2786283a59f,84237,,T84099S,,true,,"Mech compl of unspecified internal joint prosthesis, sequela",,"Other mechanical complication of unspecified internal joint prosthesis, sequela",
ICD10,37380e08-c31a-4d7e-8a59-b5fb219a0044,05650,,F16229,,true,,"Hallucinogen dependence with intoxication, unspecified",,"Hallucinogen dependence with intoxication, unspecified",
ICD10,37396d0d-4ea2-4b07-9ef9-aadbb15beefe,06457,,G40C01,,true,,"Lafora progr myoclonus epilepsy, not ntrct, with stat epi",,"Lafora progressive myoclonus epilepsy, not intractable, with status epilepticus",
ICD10,373a690a-4c79-4a59-9a4b-97697cb04cfc,86214,,V190,,false,,Pedl cyc driver injured in clsn w oth and unsp mv nontraf,,Pedal cycle driver injured in collision with other and unspecified motor vehicles in nontraffic accident,
ICD10,373b8cd7-e582-4591-807a-a53c37a9f980,15765,,L97329,,true,,Non-pressure chronic ulcer of left ankle with unsp severity,,Non-pressure chronic ulcer of left ankle with unspecified severity,
ICD10,373c3e5c-7170-4253-aa6b-018cdbe9ecb1,14287,,K51418,,true,,Inflammatory polyps of colon with other complication,,Inflammatory polyps of colon with other complication,
ICD10,373ddb54-68dd-48ca-94ca-63bac84a5bc0,48813,,S56127S,,true,,"Lacerat flxr musc/fasc/tend r little fngr at forarm lv, sqla",,"Laceration of flexor muscle, fascia and tendon of right little finger at forearm level, sequela",
ICD10,373e1993-5d34-4813-bac7-f39a7c57f22b,50592,,S61002S,,true,,"Unsp open wound of left thumb w/o damage to nail, sequela",,"Unspecified open wound of left thumb without damage to nail, sequela",
ICD10,373e4202-8a7b-4a20-8627-9fca0f38f18f,65364,,S85412A,,true,,"Lacerat less saphenous at lower leg level, left leg, init",,"Laceration of lesser saphenous vein at lower leg level, left leg, initial encounter",
ICD10,373ed938-9024-4451-b2b7-bcc4060983af,57618,,S72102B,,true,,"Unsp trochan fx left femur, init for opn fx type I/2",,"Unspecified trochanteric fracture of left femur, initial encounter for open fracture type I or II",
ICD10,37410f31-b96e-402d-b655-60a8d2abed51,05539,,F14280,,true,,Cocaine dependence with cocaine-induced anxiety disorder,,Cocaine dependence with cocaine-induced anxiety disorder,
ICD10,374139c6-5a1a-4a40-a352-7bef194abb0b,21587,,M8008XK,,true,,"Age-rel osteopor w crnt path fx, verteb, 7thK",,"Age-related osteoporosis with current pathological fracture, vertebra(e), subsequent encounter for fracture with nonunion",
ICD10,3741f92b-ee26-4754-949b-01a9d6dadd8f,48595,,S55812,,false,,"Laceration of other blood vessels at forearm level, left arm",,"Laceration of other blood vessels at forearm level, left arm",
ICD10,374287a1-24a5-43bc-beaa-345dcb580d11,76656,,T41202D,,true,,"Poisoning by unsp general anesthetics, self-harm, subs",,"Poisoning by unspecified general anesthetics, intentional self-harm, subsequent encounter",
ICD10,37449237-3f81-42a3-aca2-fc4967eebecf,73003,,T23342,,false,,"Burn of 3rd deg mu left fingers (nail), including thumb",,"Burn of third degree of multiple left fingers (nail), including thumb",
ICD10,374722cb-e87c-459b-a0aa-910cc25edb9a,32658,,S04042,,false,,"Injury of visual cortex, left side",,"Injury of visual cortex, left side",
ICD10,374810e7-cfa9-4960-80ad-4e73189e6e54,54831,,S63682A,,true,,"Other sprain of left thumb, initial encounter",,"Other sprain of left thumb, initial encounter",
ICD10,3748410d-d366-4220-928f-f367cae14dc0,63437,,S82445P,,true,,"Nondisp spiral fx shaft of l fibula, 7thP",,"Nondisplaced spiral fracture of shaft of left fibula, subsequent encounter for closed fracture with malunion",
ICD10,374958d0-8c1b-4a01-9e05-8281e9a56085,15081,,L139,,true,,"Bullous disorder, unspecified",,"Bullous disorder, unspecified",
ICD10,3749fbd6-8819-4947-be2d-8b6d1f09e584,13246,,I977,,false,,Intraoperative cardiac functional disturbances,,Intraoperative cardiac functional disturbances,
ICD10,374a5ea1-c3ff-49f2-9832-609b78269278,56695,,S70269D,,true,,"Insect bite (nonvenomous), unspecified hip, subs encntr",,"Insect bite (nonvenomous), unspecified hip, subsequent encounter",
ICD10,374bb2d1-ecd2-40cf-8e85-ae61d78eddad,00518,,A6004,,true,,Herpesviral vulvovaginitis,,Herpesviral vulvovaginitis,
ICD10,374c239c-c48b-44f3-974c-5668a306ea12,35141,,S15111,,false,,Minor laceration of right vertebral artery,,Minor laceration of right vertebral artery,
ICD10,374c3576-5eb8-479f-90ce-dbbc854cf67a,63221,,S82425C,,true,,"Nondisp transverse fx shaft of l fibula, 7thC",,"Nondisplaced transverse fracture of shaft of left fibula, initial encounter for open fracture type IIIA, IIIB, or IIIC",
ICD10,374d0c60-5a43-48b8-868b-8729fb3c6916,67970,,S92199S,,true,,"Other fracture of unspecified talus, sequela",,"Other fracture of unspecified talus, sequela",
ICD10,374d6e45-e59a-470f-9416-60cd078291c3,60589,,S79011A,,true,,"Sltr-haris Type I physeal fx upper end of right femur, init",,"Salter-Harris Type I physeal fracture of upper end of right femur, initial encounter for closed fracture",
ICD10,374e10c7-cad4-4288-866e-7c56666cea3c,85505,,V0193,,false,,"Ped on stnd micr-mob conv inj in clsn with pedl cyc, unsp",,"Pedestrian on standing micro-mobility pedestrian conveyance injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident",
ICD10,374eb6ff-ff5f-4af9-b058-7b74eb6bed70,78007,,T45611A,,true,,"Poisoning by thrombolytic drug, accidental, init",,"Poisoning by thrombolytic drug, accidental (unintentional), initial encounter",
ICD10,374ed399-54f8-49a7-8678-140cbeefa50d,57342,,S72044C,,true,,"Nondisp fx of base of nk of r femr, 7thC",,"Nondisplaced fracture of base of neck of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",
ICD10,374f156f-b4b5-4225-8214-a453913ab2bb,66872,,S91019S,,true,,"Laceration without foreign body, unspecified ankle, sequela",,"Laceration without foreign body, unspecified ankle, sequela",
